At the moment Johnny is browsing through internet and looking for the best flight deals|Aktualnie Johhny przeszukuje internet w poszukiwaniu najlepszej oferty lotu|present|continous
I used to play violin when I was a kid|Gralem na skrzypcach gdy bylem dzieckiem|past|simple
There was a picture of an exotic place and in the picturethere was a short text Travel for free and help the world|Bylo tam zdjecie egzotycznego miejsca a na zdjeciu byl tekst Podrozuj za darmo i pomagaj swiatu|past|simple
Johnny is going to have the best time of his of his life|Johnny zamierza miec najlepszy czas w swoim zyciu|present|continous
I had watched a film before you showed it to me|Obejrzalem film nim mi go pokazales|past|perfect
She has been waiting for him for 2 hours|Ona czeka na niego od 2 godzin wciaz|present|perfect_continous
He is pretty sure he will have visited all the countries in the world by the time he settles down and has a family|On jest calkiem pewny ze odwiedzi wszystkie kraje na swiecie nim sie ustatkuje i zalozy rodzine|future|perfect
What time does the conference finish?|O ktorej konczy sie konferencja?|present|simple
Before I came back home I had spend 2 hours in a fitness center My friends and I drank cafe latte after we had done all fitness exercises with the group|Zanim wrocilem do domu spedzilem dwie godziny na fitness Moi znajomi i ja wypilismy kawe po tym jak skonczylismy wszystkie cwiczenia z grupa|past|perfect
Will you have been playing basketball for 3 hours by 10pm?|Czy ty bedziesz gral w basket przez 3 godziny przez 22?|future|perfect_continous
4|He's always coming late!|On zawsze sie spoznia!|present
I have been watching a film for 5 hours now|Ogladam film od 5 godzin|present|perfect_continous
I was thinking about it|Myslalem o tym..|past|continous
My friends never smoke cigarettes|Moi przyjeciele nigdy nie pala papierosow|present|simple
I have learnt to play tennis|Nauczylem sie grac w tenisa (osiagniecie)|present|perfect
What are you going to do?|Co zamierzasz zrobic?|present|continous
It was supposed to be a very different night|To miala byc zupelnie inna noc|past|simple
I have cooked dinner|Ugotowałem obiad(i jest)|present|perfect
I'm reading a fascinating book|Jestem w trakcie czytania fascynujacej ksiazki|present|continous
I will be watching a film tomorrow at 6 a.m.|Bede ogladal film jutro o 6 rano|future|continous  
How long have you two been together?|Jak dlugo wy dwoje jestescie ze soba?|present|perfect
I have been playing squash I'm out of breath now|Gralem w squasha Nie moge teraz zlapac tchu|present|perfect_continous
This has been going on for many years|To trwa od wielu lat|present|perfect_continous
I hope he will be back soon|Mam nadzieje ze wkrotce wroci|future|simple
Im going to buy a new computer|Zamierzam kupic nowy komputer xxx niezaplanowane|present|continous
She has just got back home|Wlasnie wrocila do domu|present|perfect
When he arrived I had already cooked a dinner|Kiedy przyjechal juz ugotowalam obiad|past|perfect
Who do you like to listen to?|kogo lubisz sluchac?|present|simple
By the time she finished her studies in Barcelona She had live there for 5 years|Przed tym jak ukoczyla studia w Barcelonie, mieszkala tam juz od 5 lat|past|perfect
I will have watched a film by the end of the month|Obejrze ten film przed koncem miesiaca|future|perfect
I'm sure you will get that job@|Jestem pewien ze dostaniesz te prace|future|simple
What kind of music do you listen to?|Jakiego rodzaju muzyki sluchasz?|present|simple
How long has it been?|Jak dlugo to trwa? ma miejsce?|present|perfect
My mum wouldnt have married my dad If she had known the truth about his family|mama nie poslubila by mojego taty(ale poslubila) gdyby znala prawde o jego rodzinie(wtedy w przeszlosci ale nie znala) Gdy chcesz powiedziec co bys zrobil gdyby cos innego wydarzylo sie w przeszlosci Trzeci okres warunkowy Gdybanie o wszystkim co wydarzylo sie w przeszlosci|past|perfect
While he was driving a car She was looking at the map and making sure they were going in the right direction|Gdy on prowadzil samochod ona patrzyla na mape i upewniala sie ze jade we wlasciwym kierunku|past|continous
I have never been to Portugal|Nigdy nie bylem w Portugali|present|perfect
Before he started to live in a big city He has always dreamt of setting off on a journey around the world|Zanim zaczal zyc w wielkim miescie on zawsze marzyl o wyruszeniu w podroz dookola swiata|past|perfect
They meet in a park and fall in love at first sight He proposes to her and they live happily ever after|Oni spotykaja sie w parku i zakochuja od pierwszego wejrzenia On oswiadcza sie jej i zyja dlugo szczesliwie po tym|present|simple
Where you reading a book at that time?|Czy czytales ksiazke w tym czasie?|past|continous
Where did you use to buy food?|Gdzie kiedys zwykles kupowac jedzenie?|past|simple
He is not gonna listen to her|On nie zamierza jej sluchac|future|simple
He has just left home|Wlasnie wyszedl z domu|present|perfect
Tell me about something that you have been doing for the last year|Powiedz mi o czyms co robisz nieprzerwanie od zeszlego roku|present|perfect_continous
This time next month he will be sitting on the plane and waiting for takeIoff to Bangkok|Za miesiac o tej porze on bedzie siedzial w samolocie i czekal na wylot do Bangkoku|future|continous
I'm saving money for my new house at present|Obecnie jestem w trakcie oszczedzania pieniedzy na moj nowy dom|present|continous
I met him at the shopping mall yesterday|Spotkalem go wczoraj w galerii handlowej|past|simple
When he came back home I knew that he had been drinking He was drunk|Kiedy wrocil do domu wiedzialem ze pil On byl pijany|past|perfect_continous
How many countries will you have visited before you come back home?|Ile krajow odwiedzisz zanim wrocisz do domu?|future|perfect
She has been waiting for him for ages|Czeka na niego od wiekow Lekkie zdenerwowanie|present|perfect_continous
After she had finished her work she went to lunch|Po tym jak skonczyla swoja prace poszla na lunch|past|perfect
Have you completed your task yet?|Czy skonczyles twoje zadanie juz?|present|perfect
I am watching a film now|Wlasnie ogladam film|present|continous
Next weekend he will be setting off on our holiday|W nastepny weekend on bedzie wyruszal na nasze wakacje|future|continous
By 10pm they had gone to bed|Oni polozyli sie spac przed godzina dziesiata (wczoraj)|past|perfect
What don't you do every day?|Czego nie robisz codziennie?|present|simple
Our plane lands at 5pm at JFK airport in NY|Nasz samolot laduje o 5 po poludniu na lotnisku JFK w NY|present|simple
The Wisla river flows through Krakow|Wisla przeplywa przez Krakow|present|simple
I will have been cleaning my kitchen for 3 hours before my husbend comes back home|Bede sprzatac kuchnie przez 3 godziny nim moj maz wroci do domu|future|perfect_continous
Where did you get this?|Gdzie to dostales Skad to masz?|past|simple
I made a friend today|Poznalem dzis przyjaciela|past|simple
Im going to travel to Brazil|Zamierzam podrozowac do Brazylii|present|continous
When he was a young kid He watched a film about a boy whose dreams came true|Kiedy byl dzieckiem on obejrzal film o chlopcu ktoremu spelnily sie marzenia|past|simple
I watch a film every day|Ogladam film codziennie|present|simple
Did you see that?|widzialas to??|past|simple
I'm afraid they will win the elections|Obawiam sie ze wygraja wybory|future|simple
Before I bought my house I had been saving my money for 10 years|Zanim kupilem dom oszczedzalem pieniadze przez 10 lat|past|perfect_continous
I haven't talked to her in over a month|Nie odzywalem sie do niej przez ponad miesiac|present|perfect
Im going to the cinema|Ide do kina xxx zaplanowane|present|continous
I lost my keys Boy It was terrible|Zgubilem moje klucze wczoraj Rety to bylo okropne(znalazlem wczoraj)|past|simple
How long have you worked or have you been working for this company?|Jak dlugo pracujesz dla tej firmy?|present|perfect
These days xx nowadays xx he is planning his wedding|Aktualnie on planuje swoj slub|present|continous
What are you working on?|Nad czym pracujesz w tej chwili?|present|continous
I had been watching a film for 5 hours before you got back home|Ogladalem film przez 5 godzin nim wrociles do domu|past|perfect_continous
I wasnt reading a book at that time|Nie czytalem ksiazki w tym czasie|past|continous
He is moving out of the parents house|On wyprowadza sie z domu rodzicow xxx zaplanowane|present|continous
At 4pm I was picking up garbage from the street|o 16 podnosilem smieci z ulicy|past|cintinous
He is not a millionaire yet He works at Starbucks and he serves coffee to people who come to visit he belives in his dream thoiugh|On nie jest milionerem jeszcze Pracuje w Stabucks i serwuje kawe ludziom ktorzy przyszli odwiedzic jednakze wierzy w swoj sen|present|simple
He used to watch the same film over and over again|Ogladal ten sam film non stop kiedys|past|simple
I will have had two cups of coffee by noon|Do poludnia wypije dwie kawy|future|perfect
How did you find this blog?|Jak znalazles ten blog?|past|simple
When he came back home I knew that he had been smoking I could smell the cigarette|Kiedy wrocil do domu wiedzialem ze palil Moglem poczuc zapach papierosow|past|perfect_continous
What time do you start work tomorrow?|O ktorej zaczynasz jutro prace?|present|simple
I have done a 5 mile hike|Zrobiłem 5 milowa wedrowke|present|perfect
Tomorrow morning I will be waitng for you to give a gift to you|Jutro rano bede czekal na ciebie by dac ci prezent|future|continous
Before they started painting walls they had been dwelling on the right colour|Zanim zaczeli malowac sciany zastanawiali sie nad prawidlowym kolorem|past|perfect_continous
How long had you been living with your parents before you decided to move out?|Jak dlugo mieszkales z rodzicami zanim zdecydowales sie wyprowadzic|past|perfect_continous
Before he started preparing his plan He had been dwelling on his trip for a quite a long time|Zanim zaczal przygotowywac swoj plan rozmyslal nad wycieczka przez dlugi czas|past|perfect_continous
I wish I had bought o one way ticket last year|Zaluje ze nie kupilem biletu w jedna strone w zeszlym roku Zalowanie ze nie zrobilo sie lub zrobilo sie cos w przeszlosci|past|perfect
I will have been saving money for 4 months by the end of the May|Bede oszczedzac pieniadze przez 4 miesiace przez koncem maja|future|perfect_continous
I have been learning English for 10 years|Ucze sie angielskiego od 10 lat wciaz|present|perfect_continous
I will have been watching a film for 2 hours by midnight|Przed polnoca bede ogladal film 2 godziny|future|perfect_continous
Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did do|Za 20 lat bedziesz bardziej zalowal rzeczy ktorych nie zrobiles niz te ktore zrobiles|future|simple
He has been working on his travel plan for the last few months|On pracuje nad swoim planem podrozy od kilku miesiecy|present|perfect_continous
We are staying in Paris for a few days|Zatrzymujemy sie xx jestesmy xx w Paryzu na kilka dni xx pres perf cont gdyby bylo od kilku dni|present|continous
I have just watched a film|Wlasnie obejrzalem film|present|perfect
My friend takes awesome photographs|Moj przyjaciel robi niesamowite zdjecia|present|simple
I knew Jane for about 10 years Then I moved out of the town and we lost touch|Znalem Jane przez 10 lat Potem wyprowadzilem sie z miasta i stracilismy kontakt|past|simple
I thought about Jenny all the time|Myslalem o Jenny caly czas(tak bylo kiedys)|past|simple
When you called me I was taking a shower|Gdy do mnie dzwoniles bralem prysznic|past|continous
Before I moved to California I had never seen my grandparents|Zanim przeprowadzilem sie do Kaliforni, nigdy nie widzialem moich dziadkow|past|perfect
When my boyfriend came over to pick me up I had been doing my make-up for over an hour|Kiedy moj chlopak przyszedl mnie odebrac robilam makijaz przez ponad godzine|past|perfect_continous
I have lived or have been living in Poland for 5 years|Mieszkam w Polsce od 5 lat|present|perfect
Did you call him?|Dzwonilas do niego?|past|simple
I'm meeting with my best friend tonight Want to join us?|Dzisiaj spotykam sie z moja najlepsza przyjaciolka Chcesz sie dolaczyc?|present|continous
Johnny decided to give it a shot and become a volunteer in Thailand He didnt nedd to pay for his ticket|Johnny postanowil sprobowac i zostal wolontariuszem w Tajlandii Nie musial placic za swoj bilet|past|simple
I will be doing grocery shopping in the afternoon Do you need anything?|Bede robil zakupy spozywcze po poludniu Potrzebujesz cos?|future|continous
I was watching a film yesterday at 4 p.m.|Ogladalem film wczoraj o 16|past|continous
How long have you been waiting for me?|Jak dlugo czekasz na mnie? wciaz czekasz?|present|perfect_continous
He doesn't go to movies too often|On nie chodzi do kina zbyt czesto|present|simple
Water boils at 100 degrees Centigrade|Woda wrze w temperaturze 100 stopni celsjusza|present|simple
No I have not done it yet|Nie jeszcze tego nie zrobilem|present|perfect
I have been to NY and I love it!|Byłem w NY(i wrocilem) i kocham to miejsce!|present|perfect
By the end of the year I will have watched 15 films|Przed koncem roku obejrze 15 filmow|future|perfect
He wishes he hadnt bought a used car|On zaluje ze nie kupil uzywanego samochodu Zalowanie czego co wydarzylo sie w przeszlosci|past|perfect
What do you do?|Czym sie zajmujesz?|present|simple
I used to take the train to work|Kiedys jezdzilem pociagiem do pracy|past|simple
By the end of the month I will have gone to the gym 3 times|Do konca miesiaca pojde na silownie 3 razy|past|perfect
We finally didn't rent a car We chose to use public transport|W koncu nie wynajelismy tego samochodu Zdecydowalismy sie na transport publiczny|past|simple
I will watch a film tomorrow|Obejrze film jutro|future|simple
Actually I'm working currently!|Wlasciwie to pracuje teraz|present|continous
I'm having my house renovated|Remontuje dom|present|continous
Since January 2014 I have been attending for a course and preparing for my exam next year|Od stycznia 2014 chodze na kurse i przygotowuje sie na egzamin w przyszlym roku|present|perfect_continous
I will take care of it|Zajme sie tym|future|simple
I will have been learning for 2 hours before my mum lets me go to see my friends|Bede sie uczyl przez dwie godziny zanim mam pozwoli mi isc zobaczyc sie z przyjaciolmi|future|perfect_continous
What are you drinking?|Co teraz pijesz?|present|continous
What time do you wake up?|O ktorej sie budzisz?|present|simple
They will have finished their apartment by the end of the year|Oni skoncza ich miekszanie przed koncem roku|future|perfect
I woke up at 6pm|Obudzilem sie o 6 rano|past|simple
Have you ever bungee jumped?|Skakales kiedys na bungee?|present|perfect
I have read an inspiring novel recently|Czytałem ostatnio inspirujaca nowele|present|perfect
I have had a very long day|Mialem bardzo dlugi dzien|present|perfect
He must save some money By the end of this month he will have been saving money for his dream trip for 6 months|Musi oszczedzac pieniadze Przed koncem miesiaca bedzie oszczedzal pieniadze na wymarzona wycieczke od 6 miesiecy|future|perfect_continous
I didin't buy this watch|Nie kupilem tego zegarka|past|simple
I put my jacket on found my keys and drove to the nearest grocery store|Zalozylem kurtke znalazlem klucze i pojechalem do najblizszego supermarketu|past|simple
Im gonna have my hair cut|Zamierzam sciac wlosy|present|continous
Before we left home we had been waiting for him for an hour|Zanim wyszlismy z domu czekalismy na niego przez godzine|past|perfect_continous
Mike had been looking for his keys for an hour before his brother found them under his bed|Mike szukal swoich kluczy przez godzine zanim jego brat znalazl je pod jego lozkiem|past|perfect_continous
I have been hiking all day|Caly dzien spaceruje spacerowalem po gorach|present|perfect_continous
Who likes to play basketball?|Kto lubi grac w kosza?|present|simple
What did you use to do when you went to primary school?|Co miales w zwyczaju robic gdy chodziles do szkoly?|past|simple
Before I meet with my boss I will have prepared my report|Zanim spotkam sie z szefem przygotuje raport|future|perfect
I was practising English when I came up with a brilliant idea|Uczylem sie angielskiego gdy wpadlem na znakomity pomysl|past|continous
Exactly one year had passed since the night they were supposed to become engaged|Dokladnie rok minal od nocy kiedy mieli zamiar stac sie zareczeni|past|perfect
And then I realised that I had always wanted to live there|I wtedy zdalem sobie sprawe ze zawsze chcialem tam zyc|past|perfect
Do you go to the gym?|Czy chodzisz na silownie?|present|simple
Will you be passing by a post office?|Bedziesz przechodzil kolo poczty? xx czy zalatwisz dla mnie jakas sprawe xx|future|continous
He is certain he will start his big trip soon|On jest pewny ze zacznie swoja wielka podroz wkrotce|future|simple
They have bought a new car|Oni kupili nowy samochod (i maja go)|present|perfect
You will have mastered all English tenses by the time this challange comes to an end|Opanujesz wszystkie czasy angielskie zanim to wyzwanie dobiegnie konca|future|perfect
She will not have finished her raport by the time her colleague comes back from holidays|Ona nie skonczy raportu przed tym jak jej kolega nie wroci z wakacji|future|perfect
She remembers them clearly|Ona dobrze ich pamieta|present|simple
Once While he was trying to make a decision on the exact date of his journey He came across an intriguing add|Kiedys gdy probowal podjac decyzje dokladnej daty jego podrozy natknal sie na intrygujace ogloszenie|past|continous
I was going to ask you If you have seen my guitar|Zamierzalem spytac cie czy nie widziales mojej gitary|present|perfect
I have written a book|Napisalem ksiazke (osiagniecia)|present|perfect
At 6pm I will be washing my baby so please dont call me at this time|O 18 bede myc moje dziecko wiec prosze nie dzwon o tej porze|future|continous
Where do you live?|Gdzie mieszkasz?|present|simple
Im gonna work on it harder|Zamierzam pracowac nad tym ciezej|present|continous
I will have read this book by tomorrow|Do jutra przeczytam te ksiazke|future|perfect
They're always talking so loud!|Oni zawsze tak glosno rozmawiaja!|present|continous
I have already finished my homework|Ja juz skonczylem moja prace domowa|present|perfect
I watched a film yesterday|Wczoraj obejrzalem film|past|simple
Do they cook for their children?|Czy oni gotuja dla swoich dzieci?|present|simple
I will buy a new computer|Kupie nowy samochod xxx spontaniczne|future|simple
Yesterday at 9am I was drinking my coffee|Wczoraj o 9 rano pilem kawe|past|continous
When I went to high school I used to play games|Gdy chodzilem do liceum gralem w gry|past|simple
I met my friend the other day a few days ago|Spotkalem przyjaciol kilka dni temu|past|simple
What did you use to do what you don't do any more?|Co robiles kiedys czego juz dzis nie robisz?|past|simple
For the last months I have been looking for a better place to work|Przez ostatnie miesiace szukam lepszego miejsca do pracy|present|perfect_continous
Mark was taking a bath when Mary was laiyng in bed and waiting for him|Mark bral prysznic gdy Mary lezala w lozku i czekala na niego|past|continous
He is going to ask his best friend if he wants to join him|On zamierza spytac najlepszego przycjaciela czy chce doloczyc do niego|present|continous
Why have you been crying?|Dlaczego plakales? juz nie placze ale ma zaszklone oczy|present|perfect_continous
Did you just ask me to the dinner?|Czy ty wlasnie zaprosiles mnie na kolacje?|past|simple
He passes the ball to Messi and he scores the goal!|On podaje do Messi a on zdobywa bramke!|present|simple
Are you reading a book now?|Czy teraz czytasz ksiazke?|present|continous
