It's got to be here,To musi byc tu
I've always loved trains,Zawsze kochalem pociagi
In fact if my career in theoretical hadn't worked out my backup plan was to become a professional ticket taker,w istocie jesli moja kariera teoretycznie nie wyjdzie moim rezerwowym planem bylo zostanie profesjonalnym kontrolerem biletow
Dinner's ready,kolacja gotowa
Principles have to make you smile,Zasady musza powodowac usmiech
Nobody I knew cared about music,Nikt kogo znalem nie dbal o muzyke
The only thing they cared about were sex and drug,Jedyna rzecza o ktora dbali byly sex i nakrotyk
If you don't get in here I'm gonna lick your toothbrushng,Jesli nie przyjdziesz tu polize twoja szczoteczke do zebow Ide
Sha has done it before,Ona zrobila to juz wczesniej
The hell were you doing out there?,Cholera co ty tam robiles?
I was exploring new music stuff,Odkrywalem nowa muzyke
I wish I was,Chcialbym byc
That can still be arranged,To wciaz mozna zrobic/zaaranzowac
Leave him be,Pozwol mu byc jakim jest
Did you wash your hands before dinner?,Czy umyles rece przed kolacja?
None of your business,Nie twoj interes
Can we at least have pizza tomorrow?,Czy mozemy chociaz zjesc pizze jutro?
Don't worry i'm not planning  on being in the ninth grade for very long,Nie martw sie nie planuje pozostac w 9 klasie bardzo dlugo
Good luck with your finger painting,Powodzenia z malowaniem palcami
I'm not gonna be assaulted,Nie bede napadniety
Highschool is a haven for higher learning,Liceum to przystan dla wyzszej nauki
I can't I'm meeting with other coaches,Nie moge Spotykam sie z innymi trenerami
I got to(gotta) study my playbook,Musze studiowac moj podrecznik z zagraniami
I'll goo with you,Pojde z toba
Why are you going?,Dlaczego idziesz?
Knock that off,Wybij to sobie
I just don't think this part applies to me,Ja po prostu nie mysle by ta czesc mnie dotyczyla
Most evil doesn't start till puberty,Wiekszosc zla nie zaczyna sie az do pokwitania
When we get home I'm gonna kick your balls,Kiedy wrocimy do domu skopie ci jajka
They haven't descended yet,One jeszcze nie zeszly
For the record they descended when I was 15,Dla jasnosci one zeszly gdy mialem 15 lat
Go out and enjoy it,Wyjdz i ciesz sie tym
If only life were that simple,Gdyby tylko zycie bylo takie proste
I heard you're going to highschool tomorrow,Slyszalem ze idziesz jutro do liceum
You're going to have to find someone else to torment(harass),Bedziesz musial znalezc kogos innego do dreczenia
What am I supposed to do? His feet are growing,Co ja mam zrobic? jego stopy rosna
Will you please keep your voice down?,Czy mozesz sciszyc glos?
Lights out,Swiatla wylaczone
Do we have financial problem?,Czy mamy problemy finansowe?
She just said that to make you feel better,Ona tylko tak powiedziala zebys poczul sie lepiej
Everybody is gonna know he is your brother,Wszyscy dowiedza sie ze on jest twoim bratem
Speaking of which how about we lose the bowtie?,Skoro mowimy o tym moze pozbedziemy sie tej muszki?
You doing ok?,Trzymasz sie w porzadku?
If anybody bothers you what do you say?,Jesli ktokolwiek zawraca ci glowe co mowisz?
Do you want me to go in with you?,Czy chcesz bym weszla tam z toba?
In addition to being your teacher I will be seeing some of you in my home,Oprocz bycia waszym nauczycielem bede widywac czesc z was w moim domu
I'm sure you're well aware we have a new student with us,Jestem pewna ze jestescie dobrze swiadomi ze mam nowego ucznia z nami
I expect y'all to make him feel welcome,I oczekuje od was wszystkich ze poczuje sie mile widziany
He questioned my credentials,On podwazyl moje kwalifikacje
It wouldn't kill you to shower a little more often,Nie zabilo by cie wziac prysznic troche czesciej
How long have you played piano?,Jak dlugo grasz na pianinie?
You got any thoughts here?,Masz jakies przemyslenia na ten temat?
You have perfect pitch,Masz sluch absolutny
You should really pursue music,Powinienes naprawde kontynuowac muzyke
Where you think you're going?,a ty dokad idziesz?
We aren't supposed to learn,My nie powinnismy sie uczyc
He was about power a clock with a potato,Mowil o zasileniu zegara ziemniakiem
I tend to wonder about the bigger questions,Mam tendencje do zadawania wiekszych pytan
You know what I find comforting?,Wiesz co znalazlem pocieszajacego?
How you doin'?,jak leci?
What's that baby?,co takiego kochanie? pytanie na pytanie
I dont see why his brother cant sit with him,Nie widze dlaczego jego brat nie moze z nim siedziec
When you were in highshool would you have lunch with a nine year old?,Kiedy bylas w liceum czy jadlabys lunch z dziewiecio latkiem?
Im gonna keep him company,Dotrzymam mu towarzystwa
Just give this time,Po prostu daj temu czas
Hell is other people,Pieklo to inni ludzie
How come math is easy for you and hard for me,jak to jest ze matma jest latwa dla ciebie i trudna dla mnie
Would you mine sitting with your brother tomorrow?,Czy moglbys usiasc z bratem jutro?
You stay out of this,Trzymaj sie od tego z daleka
It has been around a while but it is still quite popular,Jest juz od jakiegos czasu ale jest wciaz dosc popularna
How come?,jak to?
So you understand what Im going through,Wiec rozumiesz przez co przechodze
my father took pride in saying that he ran our house like a tight ship,moj ojciec szczycil sie ze dowodzil naszym domem jak statkiem
attaboy that s a boy,zuch chlopak
you can fold,mozesz spasowac
I made you think I was unhappy,Sprawilem ze myslales ze jestem niezadowolony
Thats what makes life interesting,To wlasnie czyni zycie interesujacym
She liked to teach me things that kept me awake at night,Lubila uczyc mnie rzeczy ktore pozostawialy mnie nie spiacego w nocy
Was I supposed to stiff him,Czy powinnam go usztywnic zwiazac
Tell me how Im wrong,Powiedz me dlaczego sie myle
I vowed to come back,Poprzysiaglem wrocic
You want me to cook those eggs for you,Chcesz zebym ugotowala te jajka dla ciebie
Can you come in here,Czy mozesz tu przyjsc
I dont feel like cooking,Nie wydaje mi sie zebym gotowala
Why arent we going to the hospital,Dlaczego nie jedziemy do szpitala
Nobody s goin nowhere,Nikt nigdzie nie jedzie
Tell us whats what,Powiedz nam co i jak
I will call when I know more,Zadzwonie kiedy bede wiedziec wiecej
you asleep,spisz
Me neither,Ja takze
Up to you,Zalezy od ciebie
I dont expect this to end well,Nie oczekuje ze to sie dobrze skonczy
Ive often been asked why I never learned to drive a car,Czesto bylem pytany czemu nigdy nie nauczylem sie prowadzic
Just wanted to give you an update,Tylko chcialem przekazac nowe wiadomosci
I handled it,poradzilem sobie z tym
I needed him to be right,Potrzebowalem by mial racje
My family s default mode is mindless panic,tryb domyslny mojej rodziny to bezmyslowa panika
To this day i still dont understand why they were laughing,do dzis nie rozumiem dlaczego sie smiali
Three words you never hear in vietnam,trzy slowa ktorych nigdy nie uslyszysz w wietnamie
Ive never been late to school before,nigdy wczesniej nie spoznilem sie do szkoly
I came this close to having my own room,bylam tak blisko by posiadac moj wlasny pokoj
Im sure they will bring him right back,jestem pewien ze oni go zwroca
I quess i never though about it that way before,zdaje sie ze nigdy nie myslalem o tym w ten sposob wczesniej
If you change your mind help yourself,jesli zmienisz zdanie czestuj sie radz sobie sam
Youre sitting in my spot,siedzisz na moim miejscu
But for his illnes,Gdyby nie jego choroba
Everything but this,Wszystko oprocz tego
Everyone but you,Wszyscy inni oprocz ciebie
I can but try,Moge jedynie probowac
Youre gonna wish you were dead,Bedziesz zalowal ze nie jestes martwy
What seemed so funny?,Co wydawalo sie tak smieszne? jeden podmiot what wiec bez did
Did you get tired?,czy zmeczyles sie?
Its such a usefull lesson,To jest tak bardzo uzyteczna lekcja
We saw such sudden changes,Widzielismy tak nagle zmiany
The changes were so sudden,Zmiany byly tak nagle
I wouldnt like to overpay,Nie chcialbym przeplacac
I want to pay much less money,Chce zaplacic duzo mniej pieniedzy
She likes listening to classical music,Ona lubi sluchac muzyki klasycznej
He likes to speak English,On lubi mowic po angielsku
He told me this news,On powiedzial mi te pojpoj wiadomosci
Whose shoes are these?,Czyje to buty?
This is our house and that s Rebecca s house over there,To jest nasz dom a tam jest dom rebeki
yes that is a good idea,tak to jest dobry pomysl
why is that?,czemuz to?
I haven t got an alternative or I dont have an alternative,Nie mam alternatyw
You havent got your personal point of view,Ty nie masz osobistego punktu widzenia
Does this person have many valuable connections?,Czy ta osoba ma wiele wartosciowych polaczen?
Does this approach have many disadvantages?,Czy to podejscie ma wiele niedogodnosci?
Has the school got outstanding players?,Czy szkola ma niesamowitych graczy?
Has this blogger got both short and long videos?,Czy ten blogger ma krotkie i dlugie filmy?
You can write it down,mozesz to zapisac
I cant relay on him,nie moge polegac na nim
Can I improve my English grammar by myself?,czy moge udoskonalic gramatyke angielska samodzielnie
He has to have a look at it,on musi na to spojrzec
You dont have to overpay for such simple things,nie musisz przeplacac za tak proste rzeczy
I think I dont have to mention it,mysle ze nie musze o tym wspominac
You shouldnt be so suprised,nie powinienes byc tak zaskoczony
I know i should copy his mistakes,wiem ze powinienem kopiowac jego bledy
Shoul I think about it seriously?,Czy powinienem myslec o tym powaznie?
you could hurry up,moglbys sie pospieszyc
when he was young he could run very fast,kiedy byl mlody mogl biegac bardzo szybko
He could run so fast 3 years ago,On nie mogl biegac tak szybko 3 lata temu
he may translate all this text for more practice,on moglby przetlumaczyc ten tekst dla wiekszej praktyki
These words might motivate her more,te slowa moga zmotywowac ja bardziej
these things may remain the same,te rzeczy moga pozostac takie same
it might not rain snow,nie bedzie padac sniezyc
It might not be sunny,nie bedzie slonecznie
May I make a mistake?,czy moge popelnic blad?
May it become a very popular song?,Czy to moze stac sie popularna piosenka?
English is spoken all over the world,Angielski jest uzywany na calym swiecie
All the necessary conditions are provided there,Wszystkie niezbedne warunki sa dostarczone tam
It is written in this document,to jest zapisane w tym dokumencie
This employee is paid a lot,ten pracownik zarabia mnostwo
the building was destroyed,budynek zostal zniszczony
The news was heard much later,News zostal uslyszany znacznie pozniej
The meeting was cancelled,Spotkanie zostalo odwolane
The videos arent produced by them,te filmy nie sa wyprodukowane przez nich
This information isnt mentioned,ta informacja nie jest wspomniana
His progress isnt seen,jego progres nie jest widoczny
Such ideas arent suggested,Pomysly takie jak te nie sa sugerowane
Is this text written on the board?,Czy ten tekst jest napisany na tablicy?
Are these name included?,CZy te nazwiska sa zawarte?
Is these issues discussed there?,Czy te problemy sa dyskutowane?
Your classman wasnt seen there,twoj kolega z klasy nie byl widziany tam
The first place wasnt taken,pierwsze miejsce nie zostalo zajete
Was the date comfirmed?,czy data zostala potwierdzona?
Were the costs calculated?,czy koszty zostaly wkalkulowane?
Was the parcel delivered?,czy paczka zostala dostarczona?
Was your partner supported?,Czy twoj partner wspieral cie?
The solution will be found,Rozwiazanie zostanie znalezione
The work will be done,Praca zostanie zrobiona
The building will be destroyed,Budynek zostanie zniszczony
The file will be attached,Plik zostanie dolaczony
The truth will not be discovered,Prawda niegdy nie zostanie odkryta
This rule wont be forgotten,ta zasada nie zostanie zapomniana
This task wont be solved so easily,To zadanie nie zostanie rozwiazane tak latwo
Will the new things be offered?,Czy nowe rzeczy sotana zaproponowane?
If it rains I will stay at home,Jesli bedzie padac ja zostane w domu
If the weather improves I will go out,Jesli pogoda sie poprawi wyjde na zewnatrz
If it happens I will not be suprised,Jesli to sie zdarzy nie bede zaskoczony
If she call me I feel so happy,Jesli dzwoni do mnie jestem szczesliwy
If he calls me I won't answer,Jesli zadzwoni do mnie nie odpowiem
We will do it if he agrees,Zrobimy to jesli on sie zgodzi
I will visit her if she is at home,Ja odwiedze ja jesli ona bedzie w domu
I will be glad for her if she shows better results,Bede z niej zadowolony jesli pokaze lepsze rezultaty
She will stop working there if the conditions become worse,Ona przestanie pracowac tam jesli warunki stana sie gorsze
I will be very sad if our partners refuse to do it,Bede bardzo smutny jesli nasi partnerzy odrzuca zrobienie tego
When he comes back I will tell him about it,Kiedy on wroci powiem mu o tym
When he needs our help he will come to us,kiedy bedzie potrzebowal naszej pomocy on przyjdzie do nas
When they decide to do it we will have other plans,Kiedy oni zdecyduja sie to zrobi my bedziemy miec inne plany
If I lived in America I would know English much better,Gdybym zyl w ameryce znalbym angielskim znacznie lepiej
If I lived in NY I would write poems,Gdybym mieszkal teraz w NY pisalbym wiersze
If I hadnt driven a car I would have ridden a bike,Gdybym nie jechal wtedy samochodem jechalbym rowerem
If I had 1 million dollars I could buy lots of interesting things,Gdybym mial milion dolarow moglbym kupic mnostwo interesujacych rzeczy
If you were a millionaire you would spend much more money,Gdybys byl milionerem teraz wydawalbys znacznie wiecej pieniedzy
If he were rich he could live in another part of the city,gdyby byl bogaty moglby zyc w innej czesci miasta
If she were my boss I would be so lucky,gdyby byla moim szefem bylbym bardzo szczesliwy
If the students had known the corrects answers they would have spend much less time,gdyby studenci wtedy znali prawidlowe odpowiedzi to spedziliby znacznie mnie czasu
She would show better results if her trainings were more regular,Ona mialaby teraz lepsze rezultaty gdyby jej treningi byly bardziej regularne
If I had a chance I would use it,Gdybym mial teraz szanse wukorzystalbym ja
if she were here I would be so happy,Gdyby byla tu teraz bylbym bardzo szczesliwy
She would explain it better if she were more proffesional,Ona wytlumaczylaby to lepiej gdyby byla bardziej profesjonalna
I wont go there by car if it snows,Ja nie pojade tam samochodem jesli bedzie padac snieg
If I were you I wouldnt do it,Gdybym byl teraz toba nie zrobilbym tego
We would know it if he didnt like it,Wiedzielibysmy gdyby tego nie lubil teraz
We wouldnt give her money if she didnt need it,Nie dalibysmy jej pieniedzy gdyby ich nie potrzebowala
I kept wondering what it would have been like If I had asked her first,zastanawialem sie co by bylo gdybym poprosil ja jak pierwsza
The new album by ‘The Noughts’ went on sale yesterday It is their third album in three years,Nowy album zerowek poszedl na sprzedaz wczoraj To jest ich trzeci album w trzy lata
Heavy rains and stormy conditions throughout the summer have led to severe shortages in strawberries and other soft fruits This has led to price rises in many supermarkets and shops,Silne opady i stormowe warunki podczas lata doprowadzily do silnych brakow w truskawkach i innych miekkich owocow To doprowadzilo do silnpodwyzek cen w wielu supermarketach i sklepach
For many traditional football supporters it is a problem that so many young girls and women attend football matches these days That is a sexist attitude of course,Dla wielu tradycyjnych kibicow pilki to jest problem ze tak wiele dziewczyn i kobiet uczeszcza na mecze w tych czasach To jest seksistowska postawa oczywiscie
It's gonna rain,Bedzie padac
I know you're gonna come,Wiem ze przyjdziesz
My friend is gonna live in England,Moj przyjaciel bedzie mieszkal w Anglii
